author,year,pmid,experimental_events,experimental_total,control_events,control_total,Setting,Dose,Risk.of.Bias,Trial.registration
Schumer,1976,0,9,86,33,86,0,Short course of high-dose corticosteroids,NA,NA
Sprung,1984,0,33,43,11,16,0,Short course of high-dose corticosteroids,NA,NA
Bone,1987,0,65,191,48,190,0,Short course of high-dose corticosteroids,NA,NA
VASSCSG,1987,0,23,112,24,111,0,Short course of high-dose corticosteroids,NA,NA
Luce,1988,0,22,38,20,37,0,Short course of high-dose corticosteroids,NA,NA
Bollaert,1998,0,7,22,12,19,0,Long course of low-dose corticosteroids,NA,NA
Chawla,1999,0,6,23,10,21,0,Long course of low-dose corticosteroids,NA,NA
Briegel,1999,0,3,20,4,20,0,Long course of low-dose corticosteroids,NA,NA
Yildiz,2002,0,8,20,12,20,0,Long course of low-dose corticosteroids,NA,NA
Annane,2002,0,82,151,91,149,0,Long course of low-dose corticosteroids,NA,NA
Oppert,2005,0,10,23,11,25,0,Long course of low-dose corticosteroids,NA,NA
Confalonieri,2005,0,0,23,6,23,0,Long course of low-dose corticosteroids,NA,NA
Tandan,2005,0,11,14,13,14,0,Long course of low-dose corticosteroids,NA,NA
Rinaldi,2006,0,6,26,7,26,0,Long course of low-dose corticosteroids,NA,NA
Cicarelli,2007,0,7,14,12,15,0,Long course of low-dose corticosteroids,NA,NA
Meduri,2007,0,10,42,8,19,0,Long course of low-dose corticosteroids,NA,NA
Sprung,2008,0,86,251,78,248,0,Long course of low-dose corticosteroids,NA,NA
Hu,2009,0,4,38,6,39,0,Long course of low-dose corticosteroids,NA,NA
Snijders,2010,0,6,104,6,109,0,Long course of low-dose corticosteroids,NA,NA
Yildiz,2011,0,16,27,15,28,0,Long course of low-dose corticosteroids,NA,NA
Meijvis,2011,0,9,151,11,153,0,Long course of low-dose corticosteroids,NA,NA
Sabry,2011,0,2,40,6,40,0,Long course of low-dose corticosteroids,NA,NA
Arabi,2011,0,33,39,26,36,0,Long course of low-dose corticosteroids,NA,NA
Liu,2012,0,3,12,6,14,0,Long course of low-dose corticosteroids,NA,NA
Rezk,2013,0,0,18,3,9,0,Long course of low-dose corticosteroids,NA,NA
Gordon,2014,0,7,31,7,30,0,Long course of low-dose corticosteroids,NA,NA
Torres,2015,0,6,59,9,61,0,Long course of low-dose corticosteroids,NA,NA
